track_id;class_name;direction;speed_kmh
493;car;inbound;76.0
499;car;inbound;67.0
503;car;inbound;70.0
511;car;inbound;76.0
515;car;inbound;70.0
521;car;inbound;73.0
523;truck;inbound;51.0
534;car;inbound;70.0
537;car;inbound;61.0
539;car;inbound;70.0
543;car;inbound;76.0
544;truck;inbound;55.0
551;bus;inbound;57.0
552;car;inbound;67.0
561;car;inbound;73.0
568;car;inbound;73.0
572;car;inbound;90.0
578;car;inbound;76.0
579;car;inbound;76.0
582;car;inbound;67.0
583;car;inbound;64.0
584;car;inbound;55.0
586;car;inbound;64.0
588;car;inbound;61.0
591;car;inbound;57.0
592;car;inbound;57.0
593;car;inbound;70.0
602;car;inbound;81.0
604;car;inbound;67.0
4;car;outbound;18.0
7;car;inbound;96.0
12;truck;outbound;14.0
15;car;inbound;51.0
17;truck;outbound;14.0
19;car;inbound;64.0
20;car;inbound;70.0
22;car;outbound;26.0
24;car;inbound;53.0
25;truck;inbound;51.0
28;car;inbound;59.0
29;car;inbound;67.0
32;car;inbound;67.0
37;car;inbound;46.0
39;car;inbound;70.0
42;car;inbound;96.0
45;car;outbound;17.0
46;car;inbound;67.0
49;bus;inbound;90.0
63;car;inbound;70.0
70;car;inbound;57.0
74;car;inbound;64.0
76;car;outbound;31.0
79;car;inbound;55.0
81;car;inbound;67.0
83;car;inbound;67.0
86;car;inbound;67.0
89;car;inbound;73.0
91;car;inbound;67.0
98;car;inbound;70.0
99;car;inbound;64.0
100;bus;inbound;67.0
105;car;inbound;64.0
107;car;inbound;67.0
108;car;inbound;76.0
113;car;inbound;36.0
114;car;outbound;19.0
117;car;inbound;85.0
122;car;inbound;73.0
125;car;outbound;20.0
127;car;inbound;70.0
130;car;inbound;67.0
132;car;outbound;24.0
133;car;inbound;67.0
134;car;inbound;76.0
136;car;outbound;22.0
139;truck;inbound;57.0
145;car;inbound;73.0
149;car;inbound;59.0
150;car;outbound;25.0
151;car;inbound;59.0
154;car;outbound;28.0
155;car;inbound;73.0
156;car;outbound;25.0
157;car;inbound;76.0
159;car;inbound;73.0
161;car;inbound;55.0
163;car;inbound;67.0
164;car;outbound;35.0
166;car;inbound;67.0
171;car;inbound;70.0
172;car;inbound;64.0
173;car;outbound;33.0
174;car;outbound;37.0
178;car;inbound;73.0
186;car;inbound;96.0
187;car;inbound;67.0
190;car;inbound;73.0
194;bus;inbound;51.0
196;car;outbound;33.0
197;car;outbound;36.0
200;car;inbound;70.0
205;car;inbound;81.0
208;car;outbound;37.0
210;car;outbound;36.0
211;car;inbound;76.0
214;car;outbound;39.0
215;car;inbound;70.0
217;car;inbound;51.0
219;car;inbound;76.0
222;car;inbound;61.0
223;car;outbound;36.0
225;car;inbound;64.0
226;car;inbound;67.0
229;car;inbound;70.0
230;car;outbound;39.0
231;car;inbound;53.0
233;car;outbound;42.0
237;car;inbound;57.0
239;car;inbound;73.0
241;car;inbound;57.0
243;car;outbound;38.0
244;car;inbound;57.0
245;car;inbound;61.0
247;car;outbound;36.0
253;car;outbound;36.0
255;car;inbound;109.0
256;car;inbound;51.0
258;car;outbound;32.0
262;car;inbound;73.0
264;car;inbound;61.0
265;car;inbound;61.0
273;car;inbound;61.0
274;car;inbound;70.0
276;car;outbound;36.0
278;car;inbound;61.0
282;car;inbound;64.0
285;car;inbound;51.0
286;car;outbound;40.0
288;bus;outbound;38.0
290;car;inbound;64.0
291;car;inbound;61.0
296;car;outbound;34.0
298;car;outbound;40.0
300;car;inbound;96.0
302;car;inbound;51.0
304;car;outbound;40.0
305;car;inbound;67.0
309;car;inbound;61.0
310;car;inbound;45.0
317;car;inbound;67.0
320;truck;outbound;41.0
322;car;inbound;61.0
324;car;outbound;39.0
327;car;inbound;81.0
336;car;inbound;49.0
338;car;inbound;64.0
339;car;inbound;57.0
342;car;outbound;40.0
346;car;outbound;46.0
347;car;outbound;39.0
358;car;inbound;64.0
359;car;inbound;53.0
360;car;outbound;45.0
361;car;inbound;49.0
362;car;outbound;36.0
363;car;inbound;53.0
365;car;inbound;64.0
366;car;inbound;59.0
371;car;inbound;57.0
372;car;outbound;45.0
373;car;inbound;61.0
375;car;outbound;41.0
377;car;inbound;57.0
378;car;outbound;26.0
379;truck;inbound;59.0
380;car;inbound;59.0
381;car;outbound;45.0
385;car;inbound;55.0
388;car;inbound;59.0
390;car;inbound;55.0
396;car;outbound;35.0
397;car;inbound;70.0
